water_year,annual_max_cms
1989,233.1042811
1990,377.1803966
1991,559.5975224
1992,133.6555159
1993,455.9012301
1994,614.1357689
1995,704.5231432
1996,678.7831297
1997,518.877897
1998,443.4418176
1999,517.6885894
2000,281.9565049
2001,351.2959671
2002,1080.004529
2003,188.0238614
2004,480.3669856
2005,801.4233922
2006,189.2131689
2007,332.0150263
2008,527.8826542
2009,506.3052171
2010,552.6032612
2011,655.2518301
2012,187.5651285
2013,803.3489378
2014,250.4540131
2015,433.587555
2016,1441.61066
2017,649.2203418
2018,398.2622889
2019,453.8057835
2020,875.0188765
2021,339.9154265
2022,490.9008525
2023,353.7227209
2024,186.9478212
2025,564.7795053
